商品,日期,今值,预测值,前值
中国PPI年率报告,2024-01-12,-2.7,-2.6,-3.0
中国PPI年率报告,2024-02-08,-2.5,-2.6,-2.7
中国PPI年率报告,2024-03-09,-2.7,-2.5,-2.5
中国PPI年率报告,2024-04-11,-2.8,-2.8,-2.7
中国PPI年率报告,2024-05-11,-2.5,-2.3,-2.8
中国PPI年率报告,2024-06-12,-1.4,-1.5,-2.5
中国PPI年率报告,2024-07-10,-0.8,-0.8,-1.4
中国PPI年率报告,2024-08-09,-0.8,-0.9,-0.8
中国PPI年率报告,2024-09-09,-1.8,-1.5,-0.8
中国PPI年率报告,2024-10-13,-2.8,-2.5,-1.8
中国PPI年率报告,2024-11-09,-2.9,-2.5,-2.8
中国PPI年率报告,2024-12-09,-2.5,-2.8,-2.9
